Points,Name,Position
85,Sami Vatanen,D
40,Frank Vatrano,C
103,Antoine Vermette,C
64,Kris Versteeg,RW/LW
10,Linden Vey,RW/C
48,Jake Virtanen,RW/LW
78,Marc-Edouard Vlasic,D
87,Jakub Voracek,RW
52,Radim Vrbata,RW
36,Chris Wagner,C/RW
93,Joel Ward,RW
37,Austin Watson,LW/C/RW
39,Mike Weber,D
145,Shea Weber,D
15,Yannick Weber,D
76,Dale Weise,RW
53,Alexander Wennberg,C
141,Blake Wheeler,RW
78,Ryan White,C/RW
43,Chris Wideman,D
36,Dennis Wideman,D
20,Patrick Wiercioch,D
101,Justin Williams,RW
47,Colin Wilson,LW/C
10,Garrett Wilson,LW
89,Tom Wilson,RW
81,Tommy Wingels,C/RW/LW
48,Daniel Winnik,LW/C
44,Nail Yakupov,RW/LW
62,Keith Yandle,D
82,Travis Zajac,C
78,Henrik Zetterberg,LW/C
104,Mika Zibanejad,C
37,Marek Zidlicky,D
13,Dainius Zubrus,C/LW
112,Mats Zuccarello,RW/LW
53,Jason Zucker,LW/RW
173,Jake Allen,G
152,Frederik Andersen,G
191,Craig Anderson,G
79,Jonathan Bernier,G
234,Ben Bishop,G
78,Sergei Bobrovsky,G
114,Mike Condon,G
234,Corey Crawford,G
99,Louis Domingue,G
206,Devan Dubnyk,G
169,Brian Elliott,G
223,Marc-Andre Fleury,G
139,John Gibson,G
148,Thomas Greiss,G
117,Jaroslav Halak,G
80,Connor Hellebuyck,G
288,Braden Holtby,G
90,Jimmy Howard,G
54,Michael Hutchinson,G
139,Chad Johnson,G
227,Martin Jones,G
101,Joonas Korpisalo,G
74,Eddie Lack,G
139,Kari Lehtonen,G
228,Henrik Lundqvist,G
227,Roberto Luongo,G
79,Jacob Markstrom,G
164,Steve Mason,G
119,Ryan Miller,G
181,Petr Mrazek,G
126,Michal Neuvirth,G
150,Antti Niemi,G
76,Ondrej Pavelec,G
243,Jonathan Quick,G
90,Karri Ramo,G
201,Tuukka Rask,G
127,James Reimer,G
199,Pekka Rinne,G
185,Cory Schneider,G
95,Mike Smith,G
145,Cam Talbot,G
156,Semyon Varlamov,G
138,Cam Ward,G
